,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
8755,3232.0,8.530766,180.0,-0.0,30.0,13.796384319663048,5,152,8,1,37,3,2,7,2,6,2,53,0.8617245005257623,0.775,0.5002139917387715,0.8166688,0.6230942732422338,0.4621277572911137,High,High,Medium,High,Medium,Medium,Very High,High,Medium,Very High,High,Medium,1,1
838,1289.0,22.201387,319.96973,91.68142,-58.318584,0.0,4,118,62,8,44,6,64,9,13,7,1,72,0.12217194570135746,0.15,0.4956492577202632,0.05178306,0.528277164072988,0.6309284059725769,Low,Low,Medium,Low,Medium,Medium,Very Low,Very Low,Medium,Very Low,Medium,High,0,1
2743,4.0,0.0,270.0,0.0,0.0,77.94125119224191,4,97,1,7,20,4,30,5,4,5,2,40,0.20710059171597633,0.08199999999999999,0.49623011134124806,0.05379218,0.18352442132071567,0.10068437147955252,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6315,495.0,20.597847,3.8140748,7.0,67.0,113.41312896832824,4,3,35,1,18,4,40,5,2,7,1,62,0.5529661016949152,0.97,0.5037347234357228,0.974627,0.6116202250027658,0.685605933226532,Medium,High,Medium,High,Medium,High,Medium,Very High,Medium,Very High,High,High,1,1
5600,1126.0,21.80141,0.0,-0.0,-80.0,8.52813782542944,3,118,62,8,44,6,64,9,13,7,1,9,0.4534005037783375,0.19,0.49997508389059386,0.13500522,0.6451169118980599,0.7334314250020223,Medium,Low,Medium,Low,Medium,High,Medium,Very Low,Medium,Very Low,High,High,0,1
2541,109.0,2.8624053,180.0,-0.0,-10.0,0.1655506454408168,2,6,11,5,12,4,17,4,4,2,2,43,0.02556818181818182,0.01,0.4861606276978452,0.001861481,0.03337029317582594,0.04841015704463293,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7850,2202.0,0.0,270.0,0.0,0.0,105.33525919076057,2,107,12,1,28,3,44,5,2,6,1,27,0.8617245005257623,0.99,0.5070129210545409,0.99440694,0.9535066828550808,0.9951001206792643,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
3196,307.0,5.710593,270.0,-0.0,20.0,0.0917014852166175,7,161,49,7,1,5,2,7,4,8,2,3,0.02556818181818182,0.0,0.48398747037300527,0.001613519,0.05049099581052049,0.08342547812482758,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2335,931.0,14.434095,150.94539,39.705883,-40.294117,94.40751369763166,3,127,62,8,44,6,64,9,13,7,1,9,0.6535269709543569,0.2632558139534884,0.504211621087122,0.19178252,0.8883657643756555,0.8936439530836159,Medium,Low,Medium,Low,High,High,High,Low,Medium,Very Low,Very High,Very High,0,1
2906,353.0,38.50208,225.0,-107.5,112.5,1.294025084003806,5,24,8,1,1,5,2,7,2,6,2,53,0.02556818181818182,0.02,0.4911861417813647,0.0067656743,0.056946680642080805,0.10324449078314493,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
