,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
5469,218.52,7.623570307999997,127.83791756,-2.198610472,3.4013895200000004,0.1252977438271045,4,157,23,1,41,3,36,5,2,7,2,2,0.09954751131221719,0.006057502090553871,0.4920619735760985,0.010157612,0.10588035289223842,0.07947864188090424,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
959,377.16,29.021192544,96.5572729,8.956819639999999,-39.44318079999999,0.1334325224161148,5,24,8,1,1,5,2,7,2,7,2,53,0.012618296529968454,0.0,0.48974325601074403,0.00046168463,0.08529399186697739,0.07416836074233617,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3816,483.6,30.395910332000003,192.474717504,-0.43483978000000095,-0.4348399999999992,0.0131657849997282,6,41,22,1,37,3,30,5,9,6,1,54,0.03859649122807018,0.0,0.49369636107851556,0.01107359,0.1709041942056513,0.042314634745603666,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
71,2230.44,18.3860142,90.0531818,-8.146119284000001,-11.346118960000002,0.0,3,148,8,1,16,3,55,5,2,8,2,1,0.09595959595959595,0.001488095238095238,0.49652228940479837,0.028556317,0.5850972775107358,0.4900553829981504,Low,Low,Medium,Low,Medium,Medium,Very Low,Very Low,Medium,Very Low,Medium,Medium,0
2438,500.6,3.6471344279999998,248.4054956,0.34,0.34,0.3761870916932821,2,101,41,1,28,3,46,4,9,3,1,15,0.03859649122807018,0.0,0.4935530406797189,0.007837974,0.14897022482860053,0.06852447509451236,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3949,143.6,4.443264148,196.69368799999995,3.02,1.02,139.29418283421546,7,23,12,5,23,4,2,7,4,3,2,9,0.14954682779456194,0.0005,0.4973426988600759,0.02456459,0.3519871036059333,0.0917535635200792,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
7612,859.44,2.84828644,200.94409480000002,-0.66,-0.66,84.70153181813657,3,126,12,2,29,3,54,4,9,4,1,9,0.8511904761904762,0.9853538287424075,0.5022739774486309,0.9954596,0.609619779304389,0.7285445210190231,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,High,High,1
5430,12.04,7.303370532,158.5422364,0.46,0.46,0.0,6,25,18,1,37,3,57,4,4,3,2,9,0.09954751131221719,0.00041666666666666664,0.4912322595362713,0.02075769,0.0725609041397671,0.06123500983708265,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
169,2984.44,11.423433268000002,235.6360848,3.8520758000000006,-31.34792488,9.001835103146732,2,94,12,2,10,2,15,9,2,6,1,55,0.2558139534883721,0.0029743589743589744,0.4986790105986755,0.026652655,0.7694462064169608,0.6204807537827481,Low,Low,Medium,Low,High,Medium,Low,Very Low,Medium,Very Low,High,High,0
8261,1980.28,11.064351352000003,240.2161652,-0.7696934400000001,-0.7696933576000015,43.85283033270389,1,111,12,1,22,4,2,7,2,7,1,37,0.913588850174216,0.9722369376252885,0.5033181841527183,0.97557664,0.7307016818444764,0.8919484175729606,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
